	PL	EN	RU
TurtleLeft	Przesuń królika w lewo.	Move the rabbit to the left.	Переместите кролика влево.
TurtleRight	Przesuń królika w prawo.	Move the rabbit to the right.	Переместите кролика вправо.
TurtleTop	Przesuń królika do góry.	Move the rabbit up.	Переместить кролика вверх.
TurtleDown	Przesuń królika w dół.	Move the rabbit down.	Переместить кролика вниз.
BreakAll	Zakończ program natychmiast.	End the program immediately.	Выйти из программы немедленно.
GetR	Czerwona składowa koloru c1.	The red component of the color c1.	Красная составляющая цвета с1.
GetG	Zielona składowa koloru c1.	The green component of the color c1.	Зеленая составляющая c1.
GetB	Niebieska składowa koloru c1.	The blue component of the color c1.	Синяя составляющая цвета с1.
GetColorFromRGB	Kolor o składowych - 10 czerwony, 10 zielony i 10 niebieski.	Color with components - 10 red, 10 green and 10 blue.	Цветовые составляющие - 10 красных, 10 зеленых и 10 синих.
GetPutPixel	Ustaw lub zwróć kolor piksela o wspórzędnych x,y.	Set or return the pixel color of x, y.	Установить или вернуть цвет пикселя с координатами x, y.
GetPutImage	Ustaw lub zwróć obrazek piksela o wspórzędnych x,y.	Set or return a pixel image of x, y.	Установить или вернуть пиксельное изображение с координатами x, y.
PutRectangleInColor	Ustaw kolor prostokątu który jest zdefiniowany przez dwa narożne piksele o współrzednych x1,y1 i x2,y2.	Set the color of the rectangle that is defined by the two corner pixels with co-ordinates x1, y1 and x2, y2.	Установите цвет прямоугольника, который определяется двумя угловыми пикселями с координатами x1, y1 и x2, y2.
GetNumberOfColorsInX	Liczba niebieskich pikseli o ustalonej współrzędnej x.	The number of blue pixels with a fixed x coordinate.	Количество синих пикселей с указанной координатой x.
GetNumberOfColorsInY	Liczba niebieskich pikseli o ustalonej współrzędnej y.	The number of blue pixels with a fixed y coordinate.	Количество синих пикселей с указанной координатой y.
MathPlus	Suma dwóch liczb.	The sum of two numbers.	Сумма двух чисел.
MathMinus	Różnica dwóch liczb.	The difference between two numbers.	Разница двух чисел.
MathMulti	Iloczyn dwóch liczb.	The product of two numbers.	Произведение двух чисел.
MathDiv	Iloraz dwóch liczb.	Quotation of two numbers.	Частное двух чисел.
MathMod	Reszta z dzielenia pierwszej liczby przez drugą.	The rest from the division of the first number by the second.	Остальная часть деления первого числа на второе.
TurtleX	Współrzędna X położenia królika.	X coordinate of the position of the rabbit.	Координата X местоположения кролика.
TurtleY	Współrzędna Y położenia królika.	The coordinate Y of the rabbit position.	Y координата местоположения кролика.
TurtleSee	Kolor piksela z królikiem.	Pixel color with rabbit.	Пиксельный цвет с кроликом.
Number-1	Liczba -1.	Number -1.	Число -1.
Number0	Liczba 0.	Number 0.	Число  0
Number1	Liczba 1.	Number 1.	Число  1
Number2	Liczba 2.	Number 2.	Число  2
Number3	Liczba 3.	Number 3.	Число  3
Number4	Liczba 4.	Number 4.	Число  4
Number5	Liczba 5.	Number 5.	Число  5
Number6	Liczba 6.	Number 6.	Число  6
Number7	Liczba 7.	Number 7.	Число  7
Number8	Liczba 8.	Number 8.	Число  8
Number9	Liczba 9.	Number 9.	Число  9
Number10	Liczba 10.	Number 10.	Число  10
Number11	Liczba 11.	Number 11.	Число  11
Number12	Liczba 12.	Number 12.	Число  12
Number13	Liczba 13.	Number 13.	Число  13
Number14	Liczba 14.	Number 14.	Число  14
Number15	Liczba 15.	Number 15.	Число  15
Number16	Liczba 16.	Number 16.	Число  16
Number17	Liczba 17.	Number 17.	Число  17
Number18	Liczba 18.	Number 18.	Число  18
Number19	Liczba 19.	Number 19.	Число  19
Number20	Liczba 20.	Number 20.	Число  20
Variable_Numbera	Zmienna a typu liczba.	Variable a type number.	Переменная a типа числа.
Variable_Numberb	Zmienna b typu liczba.	Variable b type number.	Переменная b типа числа.
Variable_Numberc	Zmienna c typu liczba.	Variable c type number.	Переменная c типа числа.
Variable_Numberd	Zmienna d typu liczba.	Variable d type number.	Переменная d типа числа.
Variable_Numbere	Zmienna e typu liczba.	The variable e type number.	Переменная e типа числа.
Variable_Numberf	Zmienna f typu liczba.	The f variable type number.	Переменная f типа числа.
Variable_Numberg	Zmienna g typu liczba.	Variable g type number.	Переменная g типа числа.
Variable_Numberh	Zmienna h typu liczba.	Variable h type number.	Переменная h типа числа.
Variable_Numberi	Zmienna i  typu liczba.	Variable and type number.	Переменная i типа числа.
Variable_Numberj	Zmienna j typu liczba.	Variable j type number.	Переменная j типа числа.
Variable_Numberk	Zmienna k typu liczba.	K variable of the number type.	Переменная k типа числа.
Variable_Numberl	Zmienna l typu liczba.	Variable l type number.	Переменная l типа числа.
Variable_Numberm	Zmienna m typu liczba.	The variable m type number.	Переменная m типа числа.
Variable_Numbern	Zmienna n typu liczba.	Variable n type number.	Переменная n типа числа.
Variable_Numbero	Zmienna o typu liczba.	Variable by type number.	Переменная o типа числа.
Variable_Numberp	Zmienna p typu liczba.	The p variable type number.	Переменная p типа числа.
Variable_Numberq	Zmienna q typu liczba.	Variable q type number.	Переменная q типа числа.
Variable_Numberr	Zmienna r typu liczba.	Variable type number.	Переменная r типа числа.
Variable_Numbers	Zmienna s typu liczba.	The variable s is a number type.	Переменная s типа числа.
Variable_Numbert	Zmienna t typu liczba.	Variable t type number.	Переменная t типа числа.
Variable_Numberu	Zmienna u typu liczba.	The variable is of type number.	Переменная u типа числа.
Variable_Numberv	Zmienna v typu liczba.	V variable type number.	Переменная v типа числа.
Variable_Numberw	Zmienna w typu liczba.	Variable in the number type.	Переменная w типа числа.
Variable_Numberx	Zmienna x typu liczba.	Variable x type number.	Переменная x типа числа.
Variable_Numbery	Zmienna y typu liczba.	Variable y type number.	Переменная y типа числа.
Variable_Numberz	Zmienna z typu liczba.	Variable from the number type.	Переменная z типа числа.
Variable_Numberx0	Zmienna x0 typu liczba.	Variable x0 type number.	Переменная x0 типа числа.
Variable_Numberx1	Zmienna x1 typu liczba.	Variable x1 type number.	Переменная x1 типа числа.
Variable_Numberx2	Zmienna x2 typu liczba.	Variable x2 type number.	Переменная x2 типа числа.
Variable_Numberx3	Zmienna x3 typu liczba.	Variable x3 type number.	Переменная x3 типа числа.
Variable_Numberx4	Zmienna x4 typu liczba.	Variable x4 type number.	Переменная x4 типа числа.
Variable_Numberx5	Zmienna x5 typu liczba.	Variable x5 type number.	Переменная x5 типа числа.
Variable_Numberx6	Zmienna x6 typu liczba.	Variable x6 type number.	Переменная x6 типа числа.
Variable_Numberx7	Zmienna x7 typu liczba.	Variable x7 type number.	Переменная x7 типа числа.
Variable_Numberx8	Zmienna x8 typu liczba.	Variable x8 type number.	Переменная x8 типа числа.
Variable_Numberx9	Zmienna x9 typu liczba.	Variable x9 type number.	Переменная x9 типа числа.
Variable_Numbery0	Zmienna y0 typu liczba.	The variable y0 is a number.	Переменная y0 типа числа.
Variable_Numbery1	Zmienna y1 typu liczba.	Variable y1 type number.	Переменная y1 типа числа.
Variable_Numbery2	Zmienna y2 typu liczba.	The variable y2 is a number.	Переменная y2 типа числа.
Variable_Numbery3	Zmienna y3 typu liczba.	The variable y3 type number.	Переменная y3 типа числа.
Variable_Numbery4	Zmienna y4 typu liczba.	Variable y4 type number.	Переменная y4 типа числа.
Variable_Numbery5	Zmienna y5 typu liczba.	The variable y5 type number.	Переменная y5 типа числа.
Variable_Numbery6	Zmienna y6 typu liczba.	The variable is y6 of the number type.	Переменная y6 типа числа.
Variable_Numbery7	Zmienna y7 typu liczba.	The variable y7 is a number.	Переменная y7 типа числа.
Variable_Numbery8	Zmienna y8 typu liczba.	The variable is y8 of the number type.	Переменная y8 типа числа.
Variable_Numbery9	Zmienna y9 typu liczba.	The variable y9 is a number.	Переменная y9 типа числа.
Variable_Numberout	Zmienna out typu liczba.	Variable out type number.	Переменная out типа числа.
imageWidth	Szerokość obrazka.	The width of the picture.	Ширина картинки.
imageHeight	Wysokość obrazka.	The height of the picture.	Высота картинки.
Color0_0_0	Kolor czarny.	Black colour.	Черный цвет
Color10_10_10	Kolor biały.	White color.	Белый цвет.
Color10_0_0	Kolor czerwony.	Red colour.	Красный цвет
Color0_10_0	Kolor zielony.	Green color.	Зеленый цвет.
Color0_0_10	Kolor niebieski.	Blue color.	Синий цвет
Color10_10_0	Kolor żółty.	Yellow.	Желтый цвет.
Color0_10_10	Kolor cyjanowy.	Cyan color.	Голубой цвет.
Color10_0_10	Kolor magenta.	Magenta color.	Пурпурный цвет.
Color10_6_0	Kolor pomarańczowy.	Orange color.	Оранжевый цвет.
Color10_7_7	Kolor różowy.	Pink color.	Розовый цвет.
Color9_5_9	Kolor fioletowy.	Violet colour.	Фиолетовый цвет.
Color0_5_5	Kolor turkusowy.	Turquoise.	Бирюзовый цвет.
Imageempty	Pusty piksel.	Empty pixel.	Пустой пиксель.
Imagecactus	Szczyt kaktusa.	The top of the cactus.	Верхушка кактуса.
Imagecactus2	Kaktus.	Cactus.	Кактус.
ImagecoinGold	Złota moneta.	Golden coin.	Золотая монета
Imageflag2	Metalowy słupek.	Metal post.	Металлический столб.
ImageflagBlue2	Niebieska chorągiewka.	Blue bunting.	Голубой флаг.
ImageflagRed2	Czerwona chorągiewka.	A red flag.	Красный флаг
ImageflagYellow2	Żółta chorągiewka. 	Yellow flag.	Желтый флаг
ImagegrassCenter	Podłoże bez trawy.	Ground without grass.	Земля без травы.
ImagegrassCliff_left	Lewe zakończenie podłoża.	Left end of the ground.	Левый конец Земли.
ImagegrassCliff_right	Prawe zakończenie podłoża.	Right ending of the ground.	Правый конец Земли.
ImagegrassCorner_left	Prawy róg.	Right corner.	Правый угол.
ImagegrassCorner_right	Lewy róg.	Left corner.	Левый угол.
ImagegrassHill_left	Prawe zbocze góry.	The right edge of the mountain.	Правый склон горы.
ImagegrassHill_right	Lewe zbocze góry.	Left side of the mountain.	Левый склон горы.
ImagegrassMid	Podłoże z trawą.	Ground with grass.	Земля с травой.
ImagekeyBlue	Niebieski klucz. 	Blue key.	Синий ключ
ImagekeyRed	Czerwony klucz.	Red key.	Красный ключ
ImagekeyYellow	Żółty klucz.	Yellow key.	Желтый ключ
Imagekolce2	Kolce.	Spikes.	Шипы.
ImagesignExit	Znak exit.	The exit sign.	Знака "выход".
ImagesingExit2	Drewniany słupek.	Wooden post.	Деревянный столб.
Imagewater	Woda.	Water.	Вода.
ImagewaterTop	Powierzchnia wody.	Water surface.	Поверхность воды.
Imagebox	Drewniana skrzynia.	Wooden chest.	Деревянный ящик.
Imagelava	Lawa.	Bench.	Лава.
ImagelavaTop	Powierzchnia lawy.	Lava surface.	Лавовая поверхность.
ImagelockBlue	Niebieska kłódka.	Blue padlock.	Синий замок
ImagelockRed	Czerwona kłódka.	Red padlock.	Красный замок
ImagelockYellow	Żółta kłódka.	Yellow padlock.	Желтый замок.
Imagespring	Ściśnięta sprężyna. 	Compressed spring.	Сжатая пружина.
Imagesprung	Sprężyna.	Spring.	Пружина.
ImageswitchBlue	Przełącznik.	Switch.	Переключатель.
ImageswitchBlueressed	Wciśnięty przełącznik. 	The switch is pressed.	Переключатель нажат.
Imagebrush	Krzak	A Bush	куст
Imagefloor	Platforma	Platform	Платформа
Imageladder	Drabina	Ladder	лестница
ImagearrowLeft	Strzałka w lewo	Left arrow	Стрелка влево
ImagearrowRight	Strzałka w prawo	Right arrow	Стрелка вправо
ImagearrowTop	Strzałka w górę	Up arrow	Стрелка вверх
ImagearrowDown	Strzałka w dół		Стрелка вниз
Variable_Imageb1	Zmienna b1 typu obrazek.	Variable picture type b1.	Переменная b1 типа изоброжения.
Variable_Colorc0	Zmienna c0 typu kolor.	Variable c0 type color.	Переменная c0 типа цвета.
Variable_Colorc1	Zmienna c1 typu kolor.	Variable c1 type color.	Переменная c1 типа цвета.
Variable_Colorc2	Zmienna c2 typu kolor.	The c2 variable type color.	Переменная c2 типа цвета.
Variable_Colorc3	Zmienna c3 typu kolor.	The variable c3 type color.	Переменная c3 типа цвета.
Variable_Colorc4	Zmienna c4 typu kolor.	The variable c4 type color.	Переменная c4 типа цвета.
Variable_Colorc5	Zmienna c5 typu kolor.	C5 variable type color.	Переменная c5 типа цвета.
Variable_Colorc6	Zmienna c6 typu kolor.	C6 variable type color.	Переменная c6 типа цвета.
Variable_Colorc7	Zmienna c7 typu kolor.	Variable c7 type color.	Переменная c7 типа цвета.
Variable_Colorc8	Zmienna c8 typu kolor.	The variable c8 type color.	Переменная c8 типа цвета.
Variable_Colorc9	Zmienna c9 typu kolor.	C9 variable color.	Переменная c9 типа цвета.
