	PL	EN	RU
enterEmailforPIN	Wprowadź swój adres e-mail, na który otrzymasz kod PIN resetujący hasło.	Enter your e-mail address where we will send you a PIN number to reset your password. 	Введите свой адрес электронной почты, на который мы вышлем вам номер PIN, чтобы сбросить пароль.
resetPassword	Resetuj hasło	Reset password	Сброс пароля
sendEmail	Wyślij e-mail	Send e-mail	Отправить по электронной почте
noEmailInDB	Brak podanego adresu e-mail w bazie użytkowników.	There is no such e-mail address in user base	Там нет такого адреса электронной почты в пользовательской базе
enterPIN	Wprowadź PIN	Enter PIN	Введите PIN-код
enterPINpanel	Wprowadź kod PIN, który został wysłany na Twój adres e-mail.	Enter PIN number sent to your e-mail address	Введите PIN-номер отправлен на ваш адрес электронной почты
next	Dalej	Next	следующий
offline	PixBlocks - nauka offline	Pixblocks - offline learning	Pixblocks - оффлайн обучение
offlineWarn	Uwaga! Postepy Twojej pracy będą dostępne tylko na tym komputerze.	Attention! The progress of your work will only be available on this computer.	Внимание! Ход вашей работы будет доступен только на этом компьютере.
begin	Rozpocznij	Begin	Начать
classJoin	Dołącz do klasy	Join the class	Присоединяйтесь к классу
classID	Identyfikator klasy	Class ID	идентификатор класса
classIDInfo	Wprowadź identyfikator klasy do której chcesz dołączyć	Enter ID of the class you want to join	Введите идентификатор класса, который вы хотите присоединиться
join	Dołącz	Join	Присоединиться
classIDWarn	Wprowadź identyfikator klasy!	Enter class ID!	Введите идентификатор класса!
noClass	Nie znaleziono klasy o podanym identyfikatorze	There is no class with such an ID	Там нет класса с таким идентификатором
youWillBeLogout	Zostaniesz wylogowany	You are going to be logged out	Вы собираетесь выйти из системы
youBecameTeacher	Zostałeś nauczycielem	You have become a teacher	Вы стали учителем.
ok	Ok	Ok	Ok
becomeTeacher	Zostań nauczycielem	Become a teacher	Стать учителем
town	Miejscowość:	City:	Город:
schoolName	Nazwa szkoły:	School name:	Название школы:
schoolPhoneNumber	Numer telefonu do szkoły	School's phone number	Номер телефона школы
schoolEmailAddress	Adres e-mail szkoły	School's e-mail address	адрес электронной почты школы
schoolAddress	Adres szkoły	School's address	Адрес школы
confirm	Potwierdź	Confirm	Подтверждение
townWarn	Wprowadź nazwę miejscowości	Enter name of the city	Введите название города
schoolNameWarn	Wprowadź nazwę szkoły	Enter school name	Введите название школы
phoneNumberWarn	Wprowadź numer telefonu do szkoły	Enter school's phone number	Введите номер телефона школы
validNumberWarn	Wprowadź prawidłowy numer telefonu	Enter valid phone number	Введите действительный номер телефона
schoolEmailWarn	Wprowadź adres e-mail szkoły	Enter school's e-mail address	Введите адрес электронной почты школы
addressWarn	Wprowadź adres szkoły	Enter school's address	Введите адрес школы
wrongPassword	Błędne hasło	Incorrect password	неверный пароль
passwordChanged	Hasło zostało zmienione	Password has been changed	пароль был изменен
currentPassword	Aktualne hasło	Current password	Текущий пароль
currentPasswordWarn	Wprowadź aktualne hasło	Enter current password	Введите текущий пароль
min5	Hasło musi zawierać przynajmniej 5 znaków	Password must contain at least 5 characters	Пароль должен содержать не менее 5 символов
passwordsMustDiffer	Nowe hasło musi być inne niż stare	New password must be diffrent from the old one	Новый пароль должен отличаться от старого
profileEdit	Edycja profilu	Profile editing	Профиль редактирования
accountDeleted	Twoje konto zostało usunięte	Your account has been deleted	Ваш аккаунт был удален
deleteAccount	Usuń konto	Delete account	Удалить аккаунт
addEmail	Dodaj e-mail	Add e-mail address	Добавить адрес электронной почты
enterEmailAdd	Wprowadź adres e-mail, który chcesz dodać do swojego konta.	Enter e-mail address you want to add to your account.	Введите адрес электронной почты, который вы хотите добавить в свой аккаунт.
userProfile	Profil użytkownika	User profile	Профиль пользователя
editProfile	Edytuj profil	Edit profile	Редактировать профиль
classLeave	Opuść klasę	Leave the class	Выйти из класса
setEmail	Ustaw konto e-mail	Add e-mail account	Добавить учетную запись электронной почты
iAmTeacher	Jestem nauczycielem	I'm a teacher	я учитель
changePassword	Zmień hasło	Change password	Изменить пароль
noClassAttached	Brak przypisanej klasy	No class assigned	Класс не назначен
waitingForAcceptance	(czeka na akceptację)	(waiting for acceptance)	(Ожидание подтверждения)
noAddress	Brak adresu	No address	Нет адреса
noSchoolAttached	Brak przypisanej szkoły	No school assigned	Школа не назначена
leave	Odłącz	Leave	Покинуть
noStudents	Brak uczniów w klasie	No students in the class	Нет студентов в классе
csvMaxPoints	Maksymalna liczba punktów,,	Maximum number of points,	Максимальное количество баллов,
csvName	No.,Imię,Nazwisko	No., First Name, Last Name	Номер, Имя, Фамилия
comments	Uwagi	Comments	Комментарии
courses	Kursy	Courses	Курсы
sum	Suma	Sum	сумма
refresh	Odśwież	Refresh	обновление
exportCsv	Eksportuj CSV	Export CSV	Экспорт CSV
tests	Sprawdziany	Tests	тесты
homeworks	Prace domowe	Homeworks	Домашние задания
class	Klasa	Class	Учебный класс
student	Uczeń	Student	Ученик
noElements	Brak elementów	No items	Нет элементов
classData	Dane klasy	Class data	данные класса
className	Nazwa klasy	Name of class	Название класса
classDescription	Opis klasy	Class description	описание класса
classYear	Rocznik	Class year	год Класс
classCode	Kod klasy	Class code	код класса
studentData	Dane ucznia	Student data	данные для студентов
firstName	Imię	Name	имя
surname	Nazwisko	Surname	Фамилия
registerNumber	Numer w dzienniku	Number in the register	Номер в реестре
noData	<brak danych>	<no data>	<Нет данных>
noAccess	<brak dostępu>	<no access>	<Нет доступа>
statistics	Statystyki	Statistics	Статистика
lastLogin	Data ostatniego logowania	Last login date	Дата последнего входа
noElementsInList	Brak elementów na liście	There are no items in the list	Нет элементов в списке
addClass	Dodaj klasę	Add a class	Добавление класса
classNameWarn	Nazwa klasy jest wymagana!	Name of class is required!	Название класса обязательно!
classYearWarn	Rocznik klasy jest wymagany!	Class year is required!	Учебный год обязателен!
invalidClassYearFormat	Błędny format rocznika	Invalid class year format	Неверный формат учебного года
addStudent	Dodaj ucznia	Add a student	Добавить студента
selectAvatar	Wybierz avatar	Choose an avatar	Выберите аватар
studentNameWarn	Imię ucznia jest wymagane!	Student's name is required!	Имя студента обязательно!
studentSurnameWarn	Nazwisko ucznia jest wymagane!	Student's surname is required!	Фамилия студента обязательна!
invalidNumberFormat	Błędny format numeru	Invalid number format	Неверный формат номера
archiveClass	Archiwizuj klasę	Archive the class	Архивировать класс
sureArchive	Czy na pewno chcesz zarchiwizować klasę	Are you sure you want to archive the class	Вы уверены, что хотите архивировать класс
archive	Archiwizuj	Archive	Архив
deleteStudent	Usuń ucznia	Delete student	Удалить студент
sureDelete	Czy na pewno chcesz usunąć ucznia	Are you sure you want to delete the student	Вы уверены, что хотите удалить студента
delete	Usuń	Delete	Удалить
deleteClass	Usuń klasę	Delete the class	Удалить класс
sureDeleteClass	Czy na pewno chcesz usunąć klasę	Are you sure you want to delete the class	Вы уверены, что хотите удалить класс
editClass	Edytuj klasę	Edit class	Изменить класс
saveClass	Zapisz klasę	Save the class	Сохраните класс
editStudent	Edytuj ucznia	Edit student	Редактировать студента
saveStudent	Zapisz ucznia	Save the student	Сохранить студента
generate	Generuj	Generate	генерировать
shouldNumber	Numer w dzienniku powinien być liczbą!	The number in the register should be a numeric value!	Номер в реестре должен быть числовым значением!
4chars	Hasło musi zawierać minimum 4 znaki	The password must contain a minimum of 4 characters	Пароль должен содержать не менее 4-х символов
serverError	Błąd komunikacji z serwerem. Sprawdź połączenie internetowe	Communication with server error. Check internet connection	Связь с ошибкой сервера. Проверьте подключение к интернету
tooManyInstructions	Zmniejsz ilość instrukcji w programie	Reduce the number of instructions in the program	Снизить количество инструкций в программе
sureLook	Czy na pewno chcesz podejrzeć odpowiedź do zadania? Podglądając odpowiedź bezpowrotnie tracisz możliwosć zdobycia punktu i zielonej gwiazdki.	Are you sure you want to view the answer to the task? By viewing the answer, you will irreversibly lose the possibility to get a point and a green star.	Вы уверены, что хотите просмотреть ответ на задачу? Просматривая ответ, вы безвозвратно потеряете возможность получить очко и зеленую звездочку.
start	Start	Start	Начало
noExam	Brak aktywnych sprawdzianów.	No active tests.	Нет активных тестов.
noHomework	Brak aktywnych prac domowych.	No active homeworks.	Нет активных домашних заданий.
courseView	Widok kursów	Courses view	Просмотр курсов
logout	Wyloguj	Log out	Выйти
preferences	Opcje użytkownika	User options	параметры пользователя
teacherPanel	Panel nauczyciela	Teacher's panel	Панель учителя
startDate	Data rozpoczęcia	Starting date	Дата начала
creationDate	Data utworzenia	Date of creation 	Дата создания
endDate	Data zakończenia	End date	Дата окончания
test	Sprawdzian	Test	Тестовое задание
user	Użytkownik	User	пользователь
email	E-mail	E-mail	Эл. почта
logine	Login	Login	Логин
logine:	Login: 	Login:	Логин:
password:	Hasło: 	Password:	Пароль:
PDFText1	Login to adres e-mail a hasło takie jak podano podczas rejestracji	Login is the e-mail address, and password as provided during registration	Логин-это адрес электронной почты и пароль, указанные при регистрации.
PDFText2	Aby pobrać program wejdź na stronę www.pixblocks.com i przejdź do zakładki 'Pobierz'	To download the program go to www.pixblocks.com and go to the 'Download' tab	Для загрузки программы перейдите www.pixblocks.com и перейдите на вкладку «Загрузка»
saveQuestions	Zapisz zadania	Save tasks	Сохранить задачи
questionsSaved	Pomyślnie zapisano zadania	Tasks have been successfully saved	Задачи были успешно сохранены
noQuestions	Brak wybranych zadań na liście.	There are no selected tasks on the list.	Там нет выбранных задач в списке.
questionsList	Lista zadań w pracy domowej:	List of tasks in the homework:	Список заданий в домашнем задании:
selectQuestions	Wybierz zadania do pracy domowej:	Choose homework tasks:	Выберите домашние задания:
questionsListExam	Lista zadań w egzaminie:	List of tasks in the test:	Список задач в тесте:
selectQuestionsExam	Wybierz zadania do egzaminu:	Choose test tasks:	Выберите тестовые задания:
addExam	Dodaj sprawdzian	Add a test	Добавить тест
addHomework	Dodaj pracę domową	Add homework	Добавить домашнее задание
printPDF	Wydrukuj karty logowania	Print login cards	Распечатать логин-карты
editHomework	Edytuj pracę domową	Edit homework	Редактировать домашнее задание
end	Zakończ	Exit	Выход
editExam	Edytuj sprawdzian	Edit the test	Редактирование теста
deleteHomework	Usuń pracę domową	Delete homework	Удалить домашнее задание
deleteExam	Usuń sprawdzian	Delete the test	Удалить тест
min1	Minimalna ilość zadań to 1	The minimum number of tasks is 1	Минимальное количество задач 1
questionList	Lista zadań	to-do list	список дел
edit	Edycja	Edition	Издание
classes	Klasy	Classes	Классы
students	Uczniowie	Students	Студенты
exams	Sprawdziany	Tests	тесты
learningResoults	Wyniki nauki	Learning results	Результаты обучения
rememberMe	Zapamiętaj mnie	Remember me	Запомните меня
search	Czego szukasz?	Search	Поиск
activeClasses	Aktywne klasy	Active classes	Активные занятия
teacher	Nauczyciel	Teacher	учитель
school	Szkoła	School	Школа
parent	Rodzic	Parent	родитель
child	Dziecko	Child	ребенок
importProfile	Importuj profil offline	Import offline profile	Импорт оффлайн профиля
offlineLogin	Login użytkownika offline	Offline user login	Оффлайн логин пользователя
importInstruction	Wprowadź login użytkownika offline który chcesz importować.	Enter the login of the offline user you want to import.	Введите оффлайн логин пользователя, которого вы хотите импортировать.
import	Importuj	Import	импорт
importSuccess	Importowanie zakończono pomyślnie	Importing completed successfully	Импортирование успешно завершено
name	Nazwa	Name	Имя
description	Opis	Description	Описание
invisible	Niewidoczne dla ucznia	Invisible to the student	Невидимый для студента
visible	Widoczne dla ucznia	Visible to the student	Видимый для студента
ended	Zakończone	Ended	Законченный
archived	Zarchiwizowane	Archived	Архивированный
homeworkData	Dane pracy domowej	Homework data	Данные домашнего задания
examData	Dane sprawdzianu	Test data	Тестовые данные
questionQuantity	Ilość zadań	Number of tasks	Количество задач
info	Informacje	information	Информация
status	Status	Status	Статус
homeworkBlock	W trakcie trwania pracy domowej nie możesz edytować zadań	You can not edit tasks during homework	Вы не можете редактировать задачи во время домашней работы
typeCode	Napisz kod programu. Opcje - klawisz TAB.	Write the program code. Options - TAB key.	Напишите программный код. Параметры-клавиша TAB.
errorInLine	Błąd w linijce	Error in the line	Ошибка в строке
enterExamName	Wprowadź nazwę sprawdzianu	Enter the name of the test	Введите название теста
enterExamDesc	Wprowadź opis sprawdzianu	Enter a description of the test	Введите описание теста
homeworkEditError	Błąd edycji pracy domowej:	Error editing homework:	Ошибка редактирования домашнего задания:
sureHomeworkDelete	Czy na pewno chcesz usunąć pracę domową	Are you sure you want to delete your homework	Вы уверены, что хотите удалить свою домашнюю работу
sureExamDelete	Czy na pewno chcesz usunąć sprawdzian	Are you sure you want to delete the test?	Вы уверены, что хотите удалить тест?
sureActivate	Czy na pewno chcesz aktywować	Are you sure you want to activate	Вы уверены, что хотите активировать
orHomework	pracę domową	homework	домашнее задание
sureEnd	Czy na pewno chcesz zakończyć	Are you sure you want to quit?	Вы уверены, что хотите выйти?
exam	sprawdzian	exam	экзамен
yourPassword	Podaj swoje hasło	Type your password	Введите пароль
passwordToLeaveClass	Podaj hasło aby opuścić klasę	Type your password to leave the class	Введите пароль, чтобы покинуть класс
allUserPoints	Zdobyte punkty	Earned points	Заработанные очки
invalidClassYearRange	Błędna wartość rocznika	Invalid class year value	Неверное значение года обучения
new	Nowe	New	Новый
started	Rozpoczęte	Started	Начатый
closed	Zakończone	Ended	Законченный
enterHomeworkName	Wprowadź nazwę pracy domowej	Enter homework name	Введите название домашней работы
enterHomeworkDesc	Wprowadź opis pracy domowej	Enter homework description	Введите описание домашнего задания
errorFormatDateOfBirth	Zły format ! Wprowadź datę od 1900 	Bad format! Enter e.g.  min 1900	Недопустимый формат! Введите, например, мин 1900
dateOfBirth	Rok urodzenia (opcionalnie)	Year of birth (opcional)	Год рождения (необязательно)
emptyData	<brak danych>	<no data>	<Нет данных>
youLeftClass	Opuściłeś klasę	You left the class	Вы покинули класс
teacherAccess	DOSTĘP NAUCZYCIELA	teacher access	доступ учителя
enterEmailAgain	Wprowadź adres e-mail ponownie	Enter the e-mail address again	Введите адрес электронной почты еще раз
acceptTermsInfo	Akceptuje warunki korzystania z programu	I accept the terms of use of the program	Я принимаю условия использования программы
regulations	Regulamin	Regulations	Нормативно-правовые акты
whereYouFindRegulations	Regulamin znajdziesz na stronie internetowej www.pixblocks.com	Regulations can be found at www.pixblocks.com	Правила могут быть найдены в www.pixblocks.com
emailError	Podane adresy nie są identyczne	The addresses provided are not identical	Указанные адреса не идентичны
loginOnStudentAccount	Zaloguj się na konto ucznia	Log in to the student's account	Войдите в учетную запись студента
connectedStudentsTo	Dołączono ucznia do:	Attached student to:	Прикрепленный студент к:
connectStudentToCompetation	Dołącz ucznia do konkursu	Join the student to the competition	Присоединить студента к соревнованиям
pressYorPinAgain	Wprowadź PIN aktywacyjny	Enter the activation PIN	Введите PIN-код активации
licenseType	Typ licencji	License type	Тип лицензии
licensePremium	Premium	Premium	Premium
licenseFree	Darmowa	Free	Бесплатно
licenseExpiredDate	Data wygaśnięcia 	Expired date	Дата истечения срока
displayDisabled	Podgląd niedostępny przy najwyższej szybkości uruchomienia programu.	No preview available at the highest program startup speed.	Предварительный просмотр недоступен при максимальной скорости запуска программы.
nameHaveSpecialChar	Twoje imię zawiera niedozwolone znaki	Your name contains illegal characters	Ваше имя содержит недопустимые символы
surnameHaveSpecialChar	Twoje nazwisko zawiera niedozwolone znaki	Your surname contains illegal characters	Ваша фамилия содержит недопустимые символы
nameIsToLong	Wprowadź imię krótsze niż 100 znaków	Enter a name shorter than 100 characters	Введите имя короче, чем 100 символов
surnameIsToLong	Wprowadź nazwisko krótsze niż 100 znaków	Enter a surname shorter than 100 characters	Введите фамилию короче, чем 100 символов
countrySelect	Podaj kraj	Enter country	Введите страну
requestedValue	Błąd - oczekiwana wartość:	Error - expected value:	Ошибка - ожидаемое значение:
regulationsTitle	Treść regulaminu	Regulations	Нормативно-правовые акты
acceptRegulations	Oświadczam, że akceptuję treść regulaminu wraz z wszystkimi jego załącznikami.	I declare that I accept the terms and conditions as well as the attachments included in the Regulations 	Я заявляю, что я принимаю условия, а также приложения, включенные в Правила
joinToChampionchipBtn	Wyślij zgłoszenie	Send application	Отправить заявку
joinTitle	Rejestracja do konkursu	Registration for the challenge	Регистрация на вызов
month	Miesiąc	Month	Месяц
day	Dzień	Day	День
year	Rok	Year	Год
parentName	Wprowadź imię rodzica / opiekuna prawnego	Name of the parent / legal guardian	Имя родителя / законного опекуна
parentSurname	Wprowadź nazwisko rodzica / opiekuna prawnego	Surname of the parent / legal guardian	Фамилия родителя / законного опекуна
parentPhone	Telefon	Phone numer	Номер телефона
parentEmail	E-mail 	E-mail	Эл. почта
enterYourBrith	Podaj swoją datę urodzenia	Enter your date of birth	введите вашу дату рождения
enterNameC	Wprowadź imię rodzica / opiekuna prawnego	Enter parent’s / legal guardian’s name	Введите имя родителя / законного опекуна
enterSurnameC	Wprowadź nazwisko / opiekuna prawnego	Enter parent’s / legal guardian’s surname	Введите фамилию родителя / законного опекуна
enterPhoneC	Wprowadź numer telefonu	Enter phone number	Введите номер телефона
enterEmailC	Wprowadź poprawny adres e-mail	Enter a valid e-mail	Введите действительный адрес электронной почты
successfullyJoinToChampionship	Twoje zgłoszenie do konkursu Pix Programming Challange zostało przyjęte!	Successfully joined the Pix Programming Challenge!	Успешно присоединился к задаче программирования Pix!
wrongDate	Wprowadź poprawną datę urodzenia	Enter correct date of birth	Введите правильную дату рождения
textForOnlyPLC	Jeśli nie ukończyłeś/aś 13 roku życia, zgłoszenia udziału w Konkursie oraz wyrażenia zgód opisanych w Regulaminie w Twoim imieniu dokonuje rodzic / opiekun prawny.	If you are under 13 years of age, the parent / legal guardian shall submit application for participation in the Competition and accept consents described in the Regulations, on your behalf.	Если вам не исполнилось 13 лет, родитель / законный опекун подает заявку на участие в конкурсе и принимает от вашего имени согласие, описанное в правилах.
add	Dodaj	Add	Добавить
minimumIs1	Minimalna ilość zadań to 1	The minimum number of tasks is 1	Минимальное количество задач 1
noExamChampionship	Harmonogram konkursu dostępny na:\nwww.pixchallenge.org	The schedule of the competition is available at \nwww.pixchallenge.org	Расписание соревнований можно найти на \ nwww.pixchallenge.org
userHistory	Historia aktywności	Activity History	История деятельности
prevWeek	Poprzedni tydzień	Previous week	Предыдущая неделя
nextWeek	Następny tydzień	Next week	Следующая неделя
sessionTime	Czas sesji:	Session duration:	Продолжительность сеанса:
worked	Edytowane zadania:	Codes edited:	Коды отредактированы:
done	Rozwiązane zadania:	Tasks completed:	Задачи выполнены:
editSchoolData	Edytuj dane szkoły	Edit school	Редактировать школу
download	Pobierz	Download	Скачать
newVersion	Nowa wersja	New version	Новая версия
newVersionText	Wykryto nową wersję oprogramowania pixblocks. Pobierz i zainstaluj program aby zalogować się do programu.	A new version of pixblocks has been detected. Download and install the program to log in to the program.	Новая версия pixblocks была обнаружена. Скачать и установить программу для входа в программу.
downloadingStatus	Trwa pobieranie aktualizacji	The update is being downloaded	Обновление загружается
downloadingCancel	Pobieranie przerwane	The download has been cancelled	Загрузка была отменена
downloadingError	Wystąpił błąd podczas pobierania aktualizacji	An error ocurred while trying to download file	Произошла ошибка при попытке загрузить файл
addManyStudent	Dodaj uczniów	Add students	Добавить студентов
everyStudentInOneLine	Podaj imiona i nazwiska uczniów. Każdy uczeń w nowej linii	Provide students' first and last names. Each student in a new line	Укажите имена и фамилии студентов. Каждый студент в новой строке
tooManyStudents	Za dużo uczniów. Maksymalna liczba - 40	Too many students. Maximum number - 40	Слишком много учеников. Максимальное количество - 40
addManyStudentCaption	Dodaj wielu uczniów	Add many students	Добавить много студентов
